doro,one,two,three,delta
서울특별시 강남구 선릉로190길 78,4465,0,4859,394 
서울특별시 강남구 선릉로190길 84,4722,4274,4437,-285 
서울특별시 강남구 선릉로69길 19,7127,7000,8750,1623 
서울특별시 강남구 선릉로69길 20,6787,7105,9146,2359 
서울특별시 강남구 선릉로76길 12,4228,4690,6212,1984 
서울특별시 강남구 선릉로87길 14,3191,3556,4028,837 
서울특별시 강남구 선릉로90길 56,3036,2972,3344,308 
서울특별시 강남구 압구정로 113,6338,7112,8413,2075 
서울특별시 강남구 압구정로 151,7102,4138,8486,1384 
서울특별시 강남구 압구정로 201,6852,6833,7203,351 
서울특별시 강남구 압구정로 309,6844,5746,7235,391 
서울특별시 강남구 압구정로 313,6715,5377,6529,-186 
서울특별시 강남구 압구정로 321,8314,5870,9006,692 
서울특별시 강남구 압구정로 347,6374,5928,6218,-156 
서울특별시 강남구 압구정로 401,7136,6887,7445,309 
서울특별시 강남구 압구정로 403,6450,6126,7539,1089 
서울특별시 강남구 압구정로18길 14-14,2706,2706,3512,806 
서울특별시 강남구 압구정로18길 14-8,2589,0,3041,452 
서울특별시 강남구 압구정로22길 29,2415,0,3902,1487 
서울특별시 강남구 압구정로29길 23,8062,6952,8032,-30 
서울특별시 강남구 압구정로29길 49,6988,0,6353,-635 
서울특별시 강남구 압구정로29길 57,9708,8340,9800,92 
서울특별시 강남구 압구정로29길 68,9611,9230,9832,221 
서울특별시 강남구 압구정로29길 69,6988,6667,7232,244 
서울특별시 강남구 압구정로29길 71,6536,6762,7704,1168 
서울특별시 강남구 압구정로2길 20,4665,4859,5482,817 
서울특별시 강남구 압구정로2길 46,1965,2501,2712,747 
서울특별시 강남구 압구정로33길 70,9796,8671,10076,280 
서울특별시 강남구 압구정로39길 58,8080,7600,8660,580 
서울특별시 강남구 압구정로42길 36,2375,4129,3311,936 
서울특별시 강남구 압구정로42길 78,5106,5065,6893,1787 
서울특별시 강남구 압구정로48길 15,3548,4917,4805,1257 
서울특별시 강남구 압구정로50길 28,4036,4763,4355,319 
서울특별시 강남구 압구정로61길 37,6850,6680,8133,1283 
서울특별시 강남구 압구정로71길 32,4260,4330,4380,120 
서울특별시 강남구 양재대로55길 12,4568,5530,7099,2531 
서울특별시 강남구 언주로 107,4471,4831,6044,1573 
서울특별시 강남구 언주로 110,4166,4157,6703,2537 
서울특별시 강남구 언주로 117,5355,6056,7411,2056 
서울특별시 강남구 언주로 118,2948,3461,4270,1322 
서울특별시 강남구 언주로 122,2120,0,3544,1424 
서울특별시 강남구 언주로 203,4744,5031,5530,786 
서울특별시 강남구 언주로 3,5186,6082,8643,3457 
서울특별시 강남구 언주로 316,4593,4952,7976,3383 
서울특별시 강남구 언주로 332,6380,6914,8084,1704 
서울특별시 강남구 언주로 420,6920,8250,8812,1892 
서울특별시 강남구 언주로 427,3076,3187,3516,440 
서울특별시 강남구 언주로 604,5302,6040,6645,1343 
서울특별시 강남구 언주로 620,2528,2602,3603,1075 
서울특별시 강남구 언주로103길 14,2307,0,3488,1181 
